"","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","MR.micro.mol.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data","Conversion.factor.to.micro.mol.kg.h"
"244","Apogonidae","Zoramia","leptacantha","-","Lizard Island Research Station, GBR, Australia","-14.683994, 145.461426",-14.7," 145.461426","Yes","-",30,"Seawater","% Air Sat.","80",NA,"Brine shrimp (mysis)","-","-","Satiation","daily","Natural",7,1.17,"-","0.00005","-","-",6,3.25,36,"-","-","-","-","-","-","Adult","Female","48","Closed","-","O2 consumption by fish","-","-","-","-",30,30,"-","-","No","Oxyregulator","RMR","186","-","-","mg O2 / kg / h",6.8,"18.1","-","-","-","0.6","% Air Sat.","-",3.68,"0.121909033","-","","186","1.524.066.089","one-way ANOVA and the Tukey–Kramer post-hoc","-","Intersection of two manually fitted regression lines ","","Trade-off between hypoxia tolerance and brood size. A. fragilis has sacrificed hypoxia tolerance in favour of a large brood size to a greater extent
than has A. leptacanthus.","Ostlun-Nilsson & Nilsson","2004","G. E. Nilsson","10.1098/rspb.2004.2700","Östlund-Nilsson, S., & Nilsson, G. E. (2004). Breathing with a mouth full of eggs: Respiratory consequences of mouthbrooding in cardinalfish. Proceedings of the Royal Society B: Biological Sciences, 271(1543), 1015-1022. ",NA,NA,NA,1.05,"crescent","Zoramia_leptacantha",35,0,0.068185862,14.7,36,1.556302501,0.832508913,-0.444878708,0.5,3.32478347,"qualitative (Seawater)",0.03125
"245","Amiidae","Amia","calva","Bowfin","Bay of Quinte, Ontario, Canada","44.149051, -77.212669",44.1," -77.212669","Yes","-",22,"Freswater","-","-",NA,"dead goldfish (Carrasius auratus)","-","-","-","weekly","12:12",10,1420,"-","-","2.5","0.34",109,24200,5.87,"-","-","-","-","-","-","Adult","-","24","Closed","-","O2 consumption by fish","","","2.3","kPa",30,22,"-","-","No","Oxyregulator","RMR","33.5","-","-","umol O2 / kg / min",2854.2,"9.3","-","-","-","1","kPa","-",9.3,"1","-","","64.32","-","-","-","BASIC program designed by Yeager and Ultsch (1989)","","-","Porteus et al., ","2014","C.S. Porteus","10.1111/jfb.12186","Porteus, C. S., Wright, P. A., & Milsom, W. K. (2014). The effect of sustained hypoxia on the cardio-respiratory response of bowfin Amia calva: Implications for changes in the oxygen transport system. J Fish Biol, 84(3), 827-843. ",NA,"1.14","FIA",1.14,"round","Amia_calva",35,0,3.152288344,44.1,5.867768595,0.768472978,3.455484402,-0.211444713,1.56e-14,3.746991412,"qualitative (Seawater)",0.06
"246","Erythrinidae","Hoplias","malabaricus","Wolf fish","Monjolinho Reservoir, Campus of the Federal University of Sao Carlos, Brazil","-21.986070, -47.879984",-22," -47.879984","Yes","21",25,"Freshwater","-","-",NA,"Live Geophagus, Oreochromis and Astyanax.","-","-","-","weekly","-",8,312,"0.047","-","-","-",65,6700,4.66,"-","-","-","-","-","-","Adult","-","48","Closed","-","Equilibration with with N2","11.875","60","5","mmHg",0.1,25,"-","-","No","Oxyregulator","RMR",NA,"60","50","ml O2 / kg / h",NA,"20","-","-","-","-","mmHg","-",2.67,"-","-","","","-","-","-","-","","""H. malabarices
occurs in stagnant hypoxic water, whereas H. lacerdae inhabits well-oxygenated rivers."" This reflected in the difference in","Rantin et al., ","1993","F.T. Rantin","10.1007/BF00005983","Rantin, F. T., Glass, M. L., Kalinin, A. L., Verzola, R. M. M., & Fernandes, M. N. (1993). Cardio-respiratory responses in two ecologically distinct erythrinids (Hoplias malabaricus and Hoplias lacerdae) exposed to graded environmental hypoxia.Environmental Biology of Fishes, 36(1), 93-97. ",NA,"1.28","FD/BFA",1.28,"round","Hoplias_malabaricus",0.1,0,2.494154594,22,4.656716418,0.668079791,NA,0,0.405482549,0.416011973,"quantatative",NA
"247","Erythrinidae","Hoplias","lacerdae","-","Rio Grande
basin and Rio Mogi
basin, Brazil","-20.667981, -46.313309",-21," -46.313309","Yes","21",25,"Freshwater","-","-",NA,"Live Geophagus, Oreochromis and Astyanax.","-","-","-","weekly","-",8,375,"0.027","-","-","-",75,10500,3.57,"-","-","-","-","-","-","Adult","-","48","Closed","-","Equilibration with with N2","11.875","60","5","mmHg",0.1,25,"-","-","No","Oxyregulator","RMR",NA,"60","50","ml O2 / kg / h",NA,"35","-","-","-","-","mmHg","-",4.67,"-","-","","","-","-","-","-","","""H. malabarices
occurs in stagnant hypoxic water, whereas H. lacerdae inhabits well-oxygenated rivers.""","Rantin et al., ","1993","F.T. Rantin","10.1007/BF00005983","Rantin, F. T., Glass, M. L., Kalinin, A. L., Verzola, R. M. M., & Fernandes, M. N. (1993). Cardio-respiratory responses in two ecologically distinct erythrinids (Hoplias malabaricus and Hoplias lacerdae) exposed to graded environmental hypoxia.Environmental Biology of Fishes, 36(1), 93-97. ",NA,NA,NA,1.28,"round","Hoplias_lacerdae",0.1,0,2.574031268,21,3.571428571,0.552841969,NA,0,-5.27e-16,0.129542315,"quantatative",NA
"248","Apteronotidae","Apteronotus","leptorhynchus","brown ghost knifefish","Commercial suppliers, Montreal, QC, Canada","45.501702, -73.569261",45.5," -73.569261","No","-",27,"Freshwater (150uS)","-","-",NA,"Black worm and Blood worm ","-","-","-","twice weekly","12:12",11,6.7,"-","-","-","-",26.9,64.03,10.46,"-","-","-","-","-","-","Adult","-","24","Closed","-","O2 consumption by fish","-","-","-","-",0.1,27,"-","-","No","Oxyregulator","RMR","0.197","-","-","mg O2 / g / h",41.25,"2.14","-","-","-","0.1","kPa","-",2.14,"0.1","-","","197","-","ANOVA","-","BASIC program designed by Yeager and Ultsch (1989)","","Difffence bewteen species Pcrit is consistant with field observations of distribution in low-oxygen waters","Reardon et al., ","2011","E.E. Reardon","10.1242/jeb.059444","Reardon, E. E., Parisi, A., Krahe, R., & Chapman, L. J. (2011). Energetic constraints on electric signalling in wave-type weakly electric fishes. Journal of Experimental Biology, 214(24), 4141-4150. ",NA,NA,NA,0.71,"round","Apteronotus_leptorhynchus",0.1,0,0.826074803,45.5,10.46384507,1.019691301,1.615423953,-0.002702711,-4.32e-14,9.148048933,"quantatative",31.25
"249","Sternopygidae","Eigenmannia","virescens","Glass Knifefish","Commercial suppliers, Montreal, QC, Canada","45.501702, -73.569261",45.5," -73.569261","No","-",27,"Freshwater (150uS)","-","-",NA,"Black worm and Blood worm ","-","-","-","twice weekly","12:12",11,34.74,"-","-","-","-",44,108.61,31.99,"-","-","-","-","-","-","Adult","-","24","Closed","-","O2 consumption by fish","-","-","-","-",0.1,27,"-","-","No","Oxyregulator","RMR","0.197","-","-","mg O2 / g / h",213.87,"1.46","-","-","-","0.1","kPa","-",1.46,"0.1","-","","197","-","ANOVA","-","BASIC program designed by Yeager and Ultsch (1989)","","Difffence bewteen species Pcrit is consistant with field observations of distribution in low-oxygen waters","Reardon et al., ","2011","E.E. Reardon","10.1242/jeb.059444","Reardon, E. E., Parisi, A., Krahe, R., & Chapman, L. J. (2011). Energetic constraints on electric signalling in wave-type weakly electric fishes. Journal of Experimental Biology, 214(24), 4141-4150. ",NA,"1","BFA",1,"round","Eigenmannia_virescens",0.1,0,1.540829814,45.5,31.98600497,1.50496,2.330149869,0.113644404,6.06e-15,9.148048933,"quantatative",31.25
"250","Salmonidae","Oncorhynchus","tshawytscha","Chinook salmon","Spius Creek Hatchery (Merritt, Canada)","50.154502, -121.035121",50.2," -121.035121","No","70",8,"Freshwater","mg / L","9.25",NA,"1:1 anchovey oil  and poultry fat (0 % CO)","24.3 MJ/kg","-","Satiation","alternate days","-",10,17.3,"0.0006","-","-","-",150,45000,0.04,"-","-","-","-","-","Juvenile","Juvenile","-","-","Closed","-","O2 consumption by fish","-","-","20","mmHg",0.1,12,"-","-","No","Oxyregulator","RMR","4.32","-","-","umol O2 / g / h",74.74,"37.54","-","-","2.83","-","mmHg","-",5,"0.119307369","0.377283029","","138.24","-","two-way ANOVA, tukey post-hoc","-","Regress v0.99  algorithm adapted from Yeager and Ultsch (1989)","","(CO = canola oil)  CO replaced anchovy oil and poultry fat as   supplemental dietary lipid source. Control = 0 % CO total dietry lipid. Pcrit unaffected by diet.","Regan et al.,","2010","M.D. Regan","10.1016/j.aquaculture.2010.08.014","Regan, M. D., Kuchel, L. J., Huang, S. S. Y., Higgs, D. A., Wang, J., Schulte, P. M., & Brauner, C. J. (2010). The effect of dietary fish oil and poultry fat replacement with canola oil on swimming performance and metabolic response to hypoxia in stream type spring Chinook salmon parr. Aquaculture, 308(3-4), 183-189. ",NA,"2.58","FCM",2.58,"crescent","Oncorhynchus_tshawytscha",0.1,-4,1.238046103,50.2,0.038444444,-1.415166411,1.873553094,0.287690409,-4.86e-16,-4.505543675,"quantatative",1
"251","Salmonidae","Oncorhynchus","tshawytscha","Chinook salmon","Spius Creek Hatchery (Merritt, Canada)","50.154502, -121.035121",50.2," -121.035121","No","70",8,"Freshwater","mg / L","9.25",NA,"anchovey oil and poutlry fat (33 % CO)","24.3 MJ/kg","-","Satiation","alternate days","-",10,17.3,"0.0006","-","-","-",150,45000,0.04,"-","-","-","-","-","Juvenile","Juvenile","-","-","Closed","-","O2 consumption by fish","-","-","20","mmHg",0.1,12,"-","-","No","Oxyregulator","RMR","4.37","-","-","umol O2 / g / h",75.6,"37.61","-","-","3.34","-","mmHg","-",5.01,"0.140807991","0.445273963","","139.84","-","two-way ANOVA, tukey post-hoc","-","Regress v0.99  algorithm adapted from Yeager and Ultsch (1989)","","(CO = canola oil) CO replaced anchovy oil and poultry fat as   supplemental dietary lipid source. 25 % CO total dietry lipid.Pcrit unaffected by diet.","Regan et al.,","2010","M.D. Regan","10.1016/j.aquaculture.2010.08.014","Regan, M. D., Kuchel, L. J., Huang, S. S. Y., Higgs, D. A., Wang, J., Schulte, P. M., & Brauner, C. J. (2010). The effect of dietary fish oil and poultry fat replacement with canola oil on swimming performance and metabolic response to hypoxia in stream type spring Chinook salmon parr. Aquaculture, 308(3-4), 183-189. ",NA,"2.58","FCM",2.58,"crescent","Oncorhynchus_tshawytscha",0.1,-4,1.238046103,50.2,0.038444444,-1.415166411,1.878521796,0.292659111,-4.86e-16,-4.505543675,"quantatative",1
"252","Salmonidae","Oncorhynchus","tshawytscha","Chinook salmon","Spius Creek Hatchery (Merritt, Canada)","50.154502, -121.035121",50.2," -121.035121","No","70",8,"Freshwater","mg / L","9.25",NA,"anchovey oil and poutlry fat (67 % CO)","24.3 MJ/kg","-","Satiation","alternate days","-",10,17.3,"0.0006","-","-","-",150,45000,0.04,"-","-","-","-","-","Juvenile","Juvenile","-","-","Closed","-","O2 consumption by fish","-","-","20","mmHg",0.1,12,"-","-","No","Oxyregulator","RMR","3.79","-","-","umol O2 / g / h",65.57,"35.7","-","-","1.91","-","mmHg","-",4.76,"0.080521935","0.254632716","","121.28","-","two-way ANOVA, tukey post-hoc","-","Regress v0.99  algorithm adapted from Yeager and Ultsch (1989)","","(CO = canola oil) CO replaced anchovy oil and poultry fat as   supplemental dietary lipid source. 49% CO total dietry lipid. Pcrit unaffected by diet.","Regan et al.,","2010","M.D. Regan","10.1016/j.aquaculture.2010.08.014","Regan, M. D., Kuchel, L. J., Huang, S. S. Y., Higgs, D. A., Wang, J., Schulte, P. M., & Brauner, C. J. (2010). The effect of dietary fish oil and poultry fat replacement with canola oil on swimming performance and metabolic response to hypoxia in stream type spring Chinook salmon parr. Aquaculture, 308(3-4), 183-189. ",NA,"2.58","FCM",2.58,"crescent","Oncorhynchus_tshawytscha",0.1,-4,1.238046103,50.2,0.038444444,-1.415166411,1.816705184,0.230842499,-4.86e-16,-4.505543675,"quantatative",1
"253","Salmonidae","Oncorhynchus","tshawytscha","Chinook salmon","Spius Creek Hatchery (Merritt, Canada)","50.154502, -121.035121",50.2," -121.035121","No","70",8,"Freshwater","mg / L","9.25",NA,"anchovey oil  (100 % CO)","24.3 MJ/kg","-","Satiation","alternate days","-",10,17.3,"0.0006","-","-","-",150,45000,0.04,"-","-","-","-","-","Juvenile","Juvenile","-","-","Closed","-","O2 consumption by fish","-","-","20","mmHg",0.1,12,"-","-","No","Oxyregulator","RMR","3.63","-","-","umol O2 / g / h",62.8,"33.67","-","-","2.55","-","mmHg","-",4.49,"0.107503107","0.339954673","","116.16","-","two-way ANOVA, tukey post-hoc","-","Regress v0.99  algorithm adapted from Yeager and Ultsch (1989)","","(CO = canola oil) CO replaced anchovy oil and poultry fat as   supplemental dietary lipid source. 72 % CO total dietry lipid. Pcrit unaffected by diet.","Regan et al.,","2010","M.D. Regan","10.1016/j.aquaculture.2010.08.014","Regan, M. D., Kuchel, L. J., Huang, S. S. Y., Higgs, D. A., Wang, J., Schulte, P. M., & Brauner, C. J. (2010). The effect of dietary fish oil and poultry fat replacement with canola oil on swimming performance and metabolic response to hypoxia in stream type spring Chinook salmon parr. Aquaculture, 308(3-4), 183-189. ",NA,"2.58","FCM",2.58,"crescent","Oncorhynchus_tshawytscha",0.1,-4,1.238046103,50.2,0.038444444,-1.415166411,1.797959644,0.212096959,-4.86e-16,-4.505543675,"quantatative",1
"254","Salmonidae","Salmo","salar","Atlantic salmon","Institute of Marine Research, Matre, Norway (AquaGen strain)","60.400032, 5.304040",60.400032," 5.304040","Yes","15",18,"34","% Air Sat.","80",NA,"-","-","-","Satiation","twice daily","-",4,513,"-","0.01","-","-",150,14300,3.59,"346","-","2","-","-","post-smolts","Adult","-","1","unknown","-","O2 consumption by fish","0.81","-","20","% Air Sat.",34,18,"-","-","No","Oxyregulator","RMR","3.79","-","-","mgO2 / kg /min",3645.51,"55.1","-","-","4.9","-","% Air Sat.","-",11.45,"0.508976541","1.017.953.082","","227.4","1.558.299.197","-","-","‘segmented’ package in R  (Muggeo, 2003, 2008)","","""The variation in Pcrit within and across temperatures was to a large extent explained by variation in ?O2 (R2 = 0.93), suggesting that Pcrit increases with any factor that raises the metabolic rate of Atlantic salmon""","Remen et al., ","2013","M. Remen","10.1016/j.aquaculture.2013.08.024","Remen, M., Oppedal, F., Imsland, A. K., Olsen, R. E., & Torgersen, T. (2013). Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation. Aquaculture, 416-417, 41-47. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",34,0,2.710117365,60.400032,3.587412587,0.554781328,3.561758294,0.371561288,2.264244886,4.416456002,"quantatative",1.87500192874446
"255","Salmonidae","Salmo","salar","Atlantic salmon","Institute of Marine Research, Matre, Norway (AquaGen strain)","60.400032, 5.304040",60.400032," 5.304040","Yes","15",12,"34","% Air Sat.","80",NA,"-","-","-","Satiation","twice daily","-",3,513,"-","0.01","-","-",150,14300,3.59,"346","-","2","-","-","post-smolts","Adult","-","1","unknown","-","O2 consumption by fish","0.54","-","20","% Air Sat.",34,12,"-","-","No","Oxyregulator","RMR","2.24","-","-","mgO2 / kg /min",2154.6,"38.68","-","-","2.54","-","% Air Sat.","-",8.09,"0.306683728","0.531191798","","134.4","1.568.688.849","-","-","‘segmented’ package in R  (Muggeo, 2003, 2008)","","""The variation in Pcrit within and across temperatures was to a large extent explained by variation in ?O2 (R2 = 0.93), suggesting that Pcrit increases with any factor that raises the metabolic rate of Atlantic salmon""","Remen et al., ","2013","M. Remen","10.1016/j.aquaculture.2013.08.024","Remen, M., Oppedal, F., Imsland, A. K., Olsen, R. E., & Torgersen, T. (2013). Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation. Aquaculture, 416-417, 41-47. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",34,0,2.710117365,60.400032,3.587412587,0.554781328,3.333366656,0.298698817,-3.735755114,-1.583543998,"quantatative",1.875
"256","Salmonidae","Salmo","salar","Atlantic salmon","Institute of Marine Research, Matre, Norway (AquaGen strain)","60.400032, 5.304040",60.400032," 5.304040","Yes","15",6,"34","% Air Sat.","80",NA,"-","-","-","Satiation","twice daily","-",2,153,"-","0.01","-","-",150,14300,1.07,"346","-","2","-","-","post-smolts","Adult","-","1","unknown","-","O2 consumption by fish","0.36","-","20","% Air Sat.",34,6,"-","-","No","Oxyregulator","RMR","1.16","-","-","mgO2 / kg /min",332.78,"29.18","-","-","0.95","-","% Air Sat.","-",6.13,"0.141141148","0.199603726","","69.6","1.576.029","-","-","‘segmented’ package in R  (Muggeo, 2003, 2008)","","""The variation in Pcrit within and across temperatures was to a large extent explained by variation in ?O2 (R2 = 0.93), suggesting that Pcrit increases with any factor that raises the metabolic rate of Atlantic salmon""","Remen et al., ","2013","M. Remen","10.1016/j.aquaculture.2013.08.024","Remen, M., Oppedal, F., Imsland, A. K., Olsen, R. E., & Torgersen, T. (2013). Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation. Aquaculture, 416-417, 41-47. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",34,0,2.184691431,60.400032,1.06993007,0.029355393,2.522157217,0.089584203,-9.735755114,-7.583543998,"quantatative",1.87502817218842
"257","Salmonidae","Salmo","salar","Atlantic salmon","Institute of Marine Research, Matre, Norway (AquaGen strain)","60.400032, 5.304040",60.400032," 5.304040","Yes","33",16,"34","% Air Sat.","80",NA,"-","-","-","Satiation","twice daily","-",3,608,"-","0.018","-","-",150,14300,4.25,"368","-","3","-","-","post-smolts","Adult","-","1","unknown","-","O2 consumption by fish","0.39","-","21","% Air Sat.",35,16,"-","-","No","Oxyregulator","RMR","4.13","-","-","mgO2 / kg /min",4708.2,"45.8","-","-","1.9","-","% Air Sat.","-",9.54,"0.2284541","0.395694109","","247.8","1.562.158.689","-","-","‘segmented’ package in R  (Muggeo, 2003, 2008)","","Acclimation PO2 maintained for 105 mins every 6 hours then returned to 80 %. No effect of hypoxia acclimation on Pcrit was found.","Remen et al., ","2013","M. Remen","10.1016/j.aquaculture.2013.08.024","Remen, M., Oppedal, F., Imsland, A. K., Olsen, R. E., & Torgersen, T. (2013). Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation. Aquaculture, 416-417, 41-47. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",35,0,2.783903579,60.400032,4.251748252,0.628567542,3.672854903,0.465627082,0.264244886,2.416456002,"quantatative",1.875
"258","Salmonidae","Salmo","salar","Atlantic salmon","Institute of Marine Research, Matre, Norway (AquaGen strain)","60.400032, 5.304040",60.400032," 5.304040","Yes","33",16,"34","% Air Sat.","70",NA,"-","-","-","Satiation","twice daily","-",3,578,"-","0.009","-","-",150,14300,4.04,"362","-","1","-","-","post-smolts","Adult","-","1","unknown","-","O2 consumption by fish","0.33","-","22","% Air Sat.",36,16,"-","-","No","Oxyregulator","RMR","4.06","-","-","mgO2 / kg /min",4400.03,"50","-","-","5.61","-","% Air Sat.","-",10.45,"0.67454079","1.168.338.921","","243.6","1.562.158.689","-","-","‘segmented’ package in R  (Muggeo, 2003, 2008)","","Acclimation PO2 maintained for 105 mins every 6 hours then returned to 80 %. No effect of hypoxia acclimation on Pcrit was found.","Remen et al., ","2013","M. Remen","10.1016/j.aquaculture.2013.08.024","Remen, M., Oppedal, F., Imsland, A. K., Olsen, R. E., & Torgersen, T. (2013). Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation. Aquaculture, 416-417, 41-47. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",36,0,2.761927838,60.400032,4.041958042,0.606591801,3.643455638,0.448241517,0.264244886,2.416456002,"quantatative",1.87500213066971
"259","Salmonidae","Salmo","salar","Atlantic salmon","Institute of Marine Research, Matre, Norway (AquaGen strain)","60.400032, 5.304040",60.400032," 5.304040","Yes","33",16,"34","% Air Sat.","60",NA,"-","-","-","Satiation","twice daily","-",3,576,"-","0.003","-","-",150,14300,4.03,"363","-","2","-","-","post-smolts","Adult","-","1","unknown","-","O2 consumption by fish","0.34","-","23","% Air Sat.",37,16,"-","-","No","Oxyregulator","RMR","3.67","-","-","mgO2 / kg /min",3963.6,"45.06","-","-","3.32","-","% Air Sat.","-",9.38,"0.39919348","0.69142339","","220.2","1.562.158.689","-","-","‘segmented’ package in R  (Muggeo, 2003, 2008)","","Acclimation PO2 maintained for 105 mins every 6 hours then returned to 80 %. No effect of hypoxia acclimation on Pcrit was found.","Remen et al., ","2013","M. Remen","10.1016/j.aquaculture.2013.08.024","Remen, M., Oppedal, F., Imsland, A. K., Olsen, R. E., & Torgersen, T. (2013). Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation. Aquaculture, 416-417, 41-47. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",37,0,2.760422483,60.400032,4.027972028,0.605086446,3.59808982,0.397751997,0.264244886,2.416456002,"quantatative",1.875
"260","Salmonidae","Salmo","salar","Atlantic salmon","Institute of Marine Research, Matre, Norway (AquaGen strain)","60.400032, 5.304040",60.400032," 5.304040","Yes","33",16,"34","% Air Sat.","50",NA,"-","-","-","Satiation","twice daily","-",3,569,"-","0.015","-","-",150,14300,3.98,"360","-","3","-","-","post-smolts","Adult","-","1","unknown","-","O2 consumption by fish","0.38","-","24","% Air Sat.",38,16,"-","-","No","Oxyregulator","RMR","3.9","-","-","mgO2 / kg /min",4160.81,"47.44","-","-","2.26","-","% Air Sat.","-",9.88,"0.27174014","0.470667729","","234","1.562.158.689","-","-","‘segmented’ package in R  (Muggeo, 2003, 2008)","","Acclimation PO2 maintained for 105 mins every 6 hours then returned to 80 %. No effect of hypoxia acclimation on Pcrit was found.","Remen et al., ","2013","M. Remen","10.1016/j.aquaculture.2013.08.024","Remen, M., Oppedal, F., Imsland, A. K., Olsen, R. E., & Torgersen, T. (2013). Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation. Aquaculture, 416-417, 41-47. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",38,0,2.755112266,60.400032,3.979020979,0.599776229,3.619177885,0.416901714,0.264244886,2.416456002,"quantatative",1.87499887341715
"261","Cottidae","Oligocottus ","maculosus","-","Bamfield Marine Sciences Centre, British Columbia, Canada","48.829776, -125.131933",48.8," -125.131933","Yes","21",12,"30","-","-",NA,"Bloodworms and frozen fish fillets","-","-","-","daily","-",8,4.5,"-","0.0005","-","-",8.9,11.62,38.73,"-","-","-","-","-","-","Adult","-","24","Closed","-","O2 consumption by fish","1.08","-","10","Torr",15,12,"-","+2 torr","No","Oxyregulator","RMR","2.75","-","-","umol /g / h",12.38,"25.97","-","-","-","9.21","torr","-",3.46,"1.227.693","-","","88","-","-","-","BASIC program designed by Yeager and Ultsch (1989)","","Hypoxia tolerance is phylogenetically independently associated with an enhanced O2 extraction capacity, with three principal components accounting for 75% of the variation in Pcrit: RMR; mass:gill ratio and (Hb)–O2 binding affinity .","Mandic et al., ","2009","J.G. Richards","10.1098/rspb.2008.1235","Mandic, M., Todgham, A. E., & Richards, J. G. (2009). Mechanisms and evolution of hypoxia tolerance in fish. Proceedings of the Royal Society B: Biological Sciences, 276(1657), 735-744. ",NA,NA,NA,0.93,"round","Oligocottus_maculosus",15,0,0.653212514,48.8,38.72633391,1.588006386,1.092720645,-0.09865184,-4.76e-15,-4.906601196,"quantatative",1
"262","Cottidae","Clinocottus","globiceps","-","Bamfield Marine Sciences Centre, British Columbia, Canada","48.829776, -125.131933",48.8," -125.131933","Yes","21",12,"30","-","-",NA,"Bloodworms and frozen fish fillets","-","-","-","daily","-",8,1.6,"-","0.0002","-","-",19,251.59,0.64,"-","-","-","-","-","-","Juvenile","-","24","Closed","-","O2 consumption by fish","1.08","-","10","Torr",15,12,"-","+2 torr","No","Oxyregulator","RMR","3.42","-","-","umol /g / h",5.47,"26.97","-","-","-","6.59","torr","-",3.6,"0.878447","-","","109.44","-","-","-","BASIC program designed by Yeager and Ultsch (1989)","","Hypoxia tolerance is phylogenetically independently associated with an enhanced O2 extraction capacity, with three principal components accounting for 75% of the variation in Pcrit: RMR; mass:gill ratio and (Hb)–O2 binding affinity .","Mandic et al., ","2009","J.G. Richards","10.1098/rspb.2008.1235","Mandic, M., Todgham, A. E., & Richards, J. G. (2009). Mechanisms and evolution of hypoxia tolerance in fish. Proceedings of the Royal Society B: Biological Sciences, 276(1657), 735-744. ",NA,NA,NA,0.93,"round","Clinocottus_globiceps",15,0,0.204119983,48.8,0.635955324,-0.196573392,0.737987326,-0.077413746,-1.12e-15,-4.906601196,"quantatative",1
"263","Cottidae","Oligocottus","snyderi","-","Bamfield Marine Sciences Centre, British Columbia, Canada","48.829776, -125.131933",48.8," -125.131933","Yes","21",12,"30","-","-",NA,"Bloodworms and frozen fish fillets","-","-","-","daily","-",8,2.5,"-","0.0007","-","-",8.9,13.76,18.17,"-","-","-","-","-","-","Adult","-","24","Closed","-","O2 consumption by fish","1.08","-","10","Torr",15,12,"-","+2 torr","No","Oxyregulator","RMR","2.98","-","-","umol /g / h",7.45,"27.24","-","-","-","7.76","torr","-",3.63,"1.034.408","-","","95.36","-","-","-","BASIC program designed by Yeager and Ultsch (1989)","","Hypoxia tolerance is phylogenetically independently associated with an enhanced O2 extraction capacity, with three principal components accounting for 75% of the variation in Pcrit: RMR; mass:gill ratio and (Hb)–O2 binding affinity .","Mandic et al., ","2009","J.G. Richards","10.1098/rspb.2008.1235","Mandic, M., Todgham, A. E., & Richards, J. G. (2009). Mechanisms and evolution of hypoxia tolerance in fish. Proceedings of the Royal Society B: Biological Sciences, 276(1657), 735-744. ",NA,NA,NA,0.93,"round","Oligocottus_snyderi",15,0,0.397940009,48.8,18.16860465,1.259321575,0.872156273,-0.105507104,-1.37e-15,-4.906601196,"quantatative",1
