"","X.3","X.2","X.1","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","omrekenfactor.naar.micro.mol.kg.h","MR.µM.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data"
"367",367,367,367,"Cyprinidae","Ctenopharyngodon","idella","Grass carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",25,NA,"","",NA,"commercial food","","","","2x a day",NA,7,8.94,"","","","","150",37600,0.02,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,25,"","","","","RMR","198.4","","","mg kg^-1 h^-1","31,25",55.43,"","","","","","","",2.45,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1","FCM",1,"crescent","Ctenopharyngodon_idella",0.1,0,0.951337518795918,29.6,0.0237765957446809,-1.62385032613174,1.74374487859246,0.0688447411811313,5.83405455399505,2.59318137243602,"quantatative"
"368",368,368,368,"Cyprinidae","Ctenopharyngodon","idella","Grass carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",30,NA,"","",NA,"commercial food","","","","2x a day",NA,6,9.55,"","","","","150",37600,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,30,"","","","","RMR","236.16","","","mg kg^-1 h^-1","31,25",70.48,"","","","","","","",1.92,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1","FCM",1,"crescent","Ctenopharyngodon_idella",0.1,0,0.980003371583746,29.6,0.0253989361702128,-1.59518447334391,1.84806589540399,0.0301227110080166,10.834054553995,7.59318137243602,"quantatative"
"369",369,369,369,"Cyprinidae","Hypophthalmichthys","nobilis ","Bighead carp ","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",10,NA,"","",NA,"commercial food","","","","2x a day",NA,7,9.87,"","","","","146",37600,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,10,"","","","","RMR","45.76","","","mg kg^-1 h^-1","31,25",14.11,"","","","","","","",1.49,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.03","FD",1.03,"crescent","Hypophthalmichthys_nobilis",0.1,0,0.994317152669637,29.6,0.02625,-1.58087069225802,1.14952701375435,-0.178982015490571,-9.16594544600492,-12.406818627564,"quantatative"
"370",370,370,370,"Cyprinidae","Hypophthalmichthys","nobilis ","Bighead carp ","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",15,NA,"","",NA,"commercial food","","","","2x a day",NA,5,7.67,"","","","","146",28800,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,15,"","","","","RMR","79.68","","","mg kg^-1 h^-1","31,25",19.1,"","","","","","","",1.57,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.03","FD",1.03,"crescent","Hypophthalmichthys_nobilis",0.1,0,0.884795363948981,29.6,0.0266319444444444,-1.57459712381025,1.28103336724773,-0.0876693946483832,-4.16594544600493,-7.40681862756398,"quantatative"
"371",371,371,371,"Cyprinidae","Hypophthalmichthys","nobilis ","Bighead carp ","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",20,NA,"","",NA,"commercial food","","","","2x a day",NA,7,7.72,"","","","","146",28800,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,20,"","","","","RMR","131.52","","","mg kg^-1 h^-1","31,25",31.73,"","","","","","","",2.14,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.03","FD",1.03,"crescent","Hypophthalmichthys_nobilis",0.1,0,0.887617300335736,29.6,0.0268055555555556,-1.57177518742349,1.50147007210041,0.00302275968871722,0.834054553995057,-2.40681862756398,"quantatative"
"372",372,372,372,"Cyprinidae","Hypophthalmichthys","nobilis ","Bighead carp ","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",25,NA,"","",NA,"commercial food","","","","2x a day",NA,7,7.17,"","","","","146",28800,0.02,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,25,"","","","","RMR","141.76","","","mg kg^-1 h^-1","31,25",31.76,"","","","","","","",1.65,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.03","FD",1.03,"crescent","Hypophthalmichthys_nobilis",0.1,0,0.8555191556678,29.6,0.0248958333333333,-1.60387333209143,1.50188049375506,-0.0928023993894841,5.83405455399506,2.59318137243602,"quantatative"
"373",373,373,373,"Cyprinidae","Hypophthalmichthys","nobilis ","Bighead carp ","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",30,NA,"","",NA,"commercial food","","","","2x a day",NA,8,8.63,"","","","","146",28800,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,30,"","","","","RMR","208.64","","","mg kg^-1 h^-1","31,25",56.27,"","","","","","","",1.94,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.03","FD",1.03,"crescent","Hypophthalmichthys_nobilis",0.1,0,0.93601079571521,29.6,0.0299652777777778,-1.52338169204402,1.75027691515399,-0.030836552169347,10.8340545539951,7.59318137243602,"quantatative"
"374",374,374,374,"Cyprinidae","Hypophthalmichthys","molitrix","Silver Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",10,NA,"","",NA,"commercial food","","","","2x a day",NA,7,8.26,"","","","","120",32500,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,10,"","","","","RMR","66.88","","","mg kg^-1 h^-1","31,25",17.26,"","","","","","","",1.88,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1","FD",1,"crescent","Hypophthalmichthys_molitrix",0.1,0,0.916980047320382,29.6,0.0254153846153846,-1.59490331365849,1.23704079137919,-0.0267231381984295,-8.99913453520591,-12.406818627564,"quantatative"
"375",375,375,375,"Cyprinidae","Hypophthalmichthys","molitrix","Silver Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",15,NA,"","",NA,"commercial food","","","","2x a day",NA,8,8.37,"","","","","120",32500,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,15,"","","","","RMR","118.72","","","mg kg^-1 h^-1","31,25",31.05,"","","","","","","",1.86,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1","FD",1,"crescent","Hypophthalmichthys_molitrix",0.1,0,0.92272545799326,29.6,0.0257538461538462,-1.58915790298561,1.4920616045126,0.0916045157872576,-3.99913453520592,-7.40681862756398,"quantatative"
"376",376,376,376,"Cyprinidae","Hypophthalmichthys","molitrix","Silver Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",25,NA,"","",NA,"commercial food","","","","2x a day",NA,5,8.72,"","","","","120",32500,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,25,"","","","","RMR","199.04","","","mg kg^-1 h^-1","31,25",54.24,"","","","","","","",1.93,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1","FD",1,"crescent","Hypophthalmichthys_molitrix",0.1,0,0.940516484932567,29.6,0.0268307692307692,-1.57136687604631,1.73431968085901,0.0684786996292006,6.00086546479408,2.59318137243602,"quantatative"
"377",377,377,377,"Cyprinidae","Hypophthalmichthys","molitrix","Silver Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",30,NA,"","",NA,"commercial food","","","","2x a day",NA,7,8.46,"","","","","120",32500,0.03,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,30,"","","","","RMR","199.04","","","mg kg^-1 h^-1","31,25",52.62,"","","","","","","",1.62,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1","FD",1,"crescent","Hypophthalmichthys_molitrix",0.1,0,0.927370363039024,29.6,0.0260307692307692,-1.58451299793985,1.72115084374968,-0.0527290237089869,11.0008654647941,7.59318137243602,"quantatative"
"378",378,378,378,"Cyprinidae","Cyprinus","Cyprinus carpio var. Jian","Common Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",10,NA,"","",NA,"commercial food","","","","2x a day",NA,6,9.04,"","","","","120",20600,0.04,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,10,"","","","","RMR","87.04","","","mg kg^-1 h^-1","31,25",24.59,"","","","","","","",1.51,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.82","FCM",1.82,"crescent","Cyprinus_carpio_carpio",0.1,0,0.956168430475363,29.6,0.0438834951456311,-1.35769878989379,1.39075852873872,0.0941868574992997,-10.2685767271595,-12.406818627564,"quantatative"
"379",379,379,379,"Cyprinidae","Cyprinus","Cyprinus carpio var. Jian","Common Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",15,NA,"","",NA,"commercial food","","","","2x a day",NA,7,8.58,"","","","","120",20600,0.04,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,15,"","","","","RMR","141.76","","","mg kg^-1 h^-1","31,25",38.01,"","","","","","","",1.76,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.82","FCM",1.82,"crescent","Cyprinus_carpio_carpio",0.1,0,0.933487287848705,29.6,0.0416504854368932,-1.38037993252045,1.5798978696031,0.170431189124274,-5.26857672715953,-7.40681862756398,"quantatative"
"380",380,380,380,"Cyprinidae","Cyprinus","Cyprinus carpio var. Jian","Common Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",20,NA,"","",NA,"commercial food","","","","2x a day",NA,4,10.4,"","","","","120",20600,0.05,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,20,"","","","","RMR","192.32","","","mg kg^-1 h^-1","31,25",62.5,"","","","","","","",1.72,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.82","FCM",1.82,"crescent","Cyprinus_carpio_carpio",0.1,0,1.01703333929878,29.6,0.0504854368932039,-1.29683388107037,1.79588001734408,0.189088148934719,-0.268576727159528,-2.40681862756398,"quantatative"
"381",381,381,381,"Cyprinidae","Cyprinus","Cyprinus carpio var. Jian","Common Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",25,NA,"","",NA,"commercial food","","","","2x a day",NA,7,8.24,"","","","","120",20600,0.04,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,25,"","","","","RMR","211.2","","","mg kg^-1 h^-1","31,25",54.38,"","","","","","","",1.57,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.82","FCM",1.82,"crescent","Cyprinus_carpio_carpio",0.1,0,0.915927211697116,29.6,0.04,-1.39794000867204,1.73543920325148,0.0901838767237241,4.73142327284047,2.59318137243602,"quantatative"
"382",382,382,382,"Cyprinidae","Cyprinus","Cyprinus carpio var. Jian","Common Carp","Hechuan, Chongqing, PR China","29.588515, 106.522864",29.6,"106,522864","No","",30,NA,"","",NA,"commercial food","","","","2x a day",NA,7,10.46,"","","","","120",20600,0.05,"","","","","","juvenile","Juvenile",NA,"24","Closed","","","","","","",0.1,30,"","","","","RMR","245.76","","","mg kg^-1 h^-1","31,25",80.33,"","","","","","","",1.61,"","","","","","","","","","","","","","","Chen, B. J., Fu, S. J., Cao, Z. D., & Wang, Y. X. (2019). Effect of temperature on critical oxygen tension (Pcrit) and gill morphology in six cyprinids in the Yangtze River, China. Aquaculture, 508, 137-146.",NA,"1.82","FCM",1.82,"crescent","Cyprinus_carpio_carpio",0.1,0,1.01953168453126,29.6,0.0507766990291262,-1.2943355358379,1.9048777669634,0.0538422583860552,9.73142327284047,7.59318137243602,"quantatative"
"383",383,383,383,"Cyprinidae","Carassius","Carassius auratus","Goldfish","Delta aquatics, Burnaby, Canada","49.247735, -122.979572",49.2,"-122,979572","No","",17,NA,"","",NA,"nutrafin max goldfish flakes","","","","daily","12h:12h",8,2.06,"","","","","48",2000,0.1,"","","","","",NA,"Larvae","unknown","24","Closed","","","","","","",0.1,17,"","","","","RMR","165.21","","","mg kg^-1 h^-1","31,25",10.64,"","","","","","","",3,"","","","","","","","","","","","","","","Regan, M. D., Gill, I. S., & Richards, J. G. (2017). Calorespirometry reveals that goldfish prioritize aerobic metabolism over metabolic rate depression in all but near-anoxic environments. Journal of Experimental Biology, 220(4), 564-572.",NA,"1.89","FCM",1.89,"crescent","Carassius_auratus_auratus",0.1,0,0.313867220369153,49.2,0.103,-0.987162775294828,1.02694162795903,0.0847287196487261,2.49814148605852,0.207986666804905,"quantatative"
"384",384,384,384,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","",NA,NA,"","",NA,"",NA,"","","","","","","",5.8,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,NA,0,0.255506786545694,4.7077692355864,"quantatative"
"385",385,385,385,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","SMR","212.07","","","mg kg^-1 h^-1","31,25",71.57,"","","","","","","",4.9,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.85473101721394,-0.000185269203559106,0.255506786545694,4.7077692355864,"quantatative"
"386",386,386,386,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","SMR","212.07","","","mg kg^-1 h^-1","31,25",71.57,"","","","","","","",3.3,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.85473101721394,-0.000185269203559106,0.255506786545694,4.7077692355864,"quantatative"
"387",387,387,387,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","SMR","212.07","","","mg kg^-1 h^-1","31,25",71.57,"","","","","","","",3.3,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.85473101721394,-0.000185269203559106,0.255506786545694,4.7077692355864,"quantatative"
"388",388,388,388,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","RMR","216.09","","","mg kg^-1 h^-1","31,25",72.93,"","","","","","","",8.5,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.862906213563,0.00798992714549684,0.255506786545694,4.7077692355864,"quantatative"
"389",389,389,389,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","RMR","216.09","","","mg kg^-1 h^-1","31,25",72.93,"","","","","","","",4.5,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.862906213563,0.00798992714549684,0.255506786545694,4.7077692355864,"quantatative"
"390",390,390,390,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","RMR","216.09","","","mg kg^-1 h^-1","31,25",72.93,"","","","","","","",3.6,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.862906213563,0.00798992714549684,0.255506786545694,4.7077692355864,"quantatative"
"391",391,391,391,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","",NA,NA,"","",NA,"",NA,"","","","","","","",5.5,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,NA,0,0.255506786545694,4.7077692355864,"quantatative"
"392",392,392,392,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","SMR","194.14","","","mg kg^-1 h^-1","31,25",65.52,"","","","","","","",4.5,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.81637388875236,-0.0385423976651393,0.255506786545694,4.7077692355864,"quantatative"
"393",393,393,393,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","SMR","194.14","","","mg kg^-1 h^-1","31,25",65.52,"","","","","","","",3.3,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.81637388875236,-0.0385423976651393,0.255506786545694,4.7077692355864,"quantatative"
"394",394,394,394,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","SMR","194.14","","","mg kg^-1 h^-1","31,25",65.52,"","","","","","","",3.3,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.81637388875236,-0.0385423976651393,0.255506786545694,4.7077692355864,"quantatative"
"395",395,395,395,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","RMR","213.34","","","mg kg^-1 h^-1","31,25",72,"","","","","","","",9.9,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.85733249643127,0.00241621001376723,0.255506786545694,4.7077692355864,"quantatative"
"396",396,396,396,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","RMR","213.34","","","mg kg^-1 h^-1","31,25",72,"","","","","","","",4.5,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.85733249643127,0.00241621001376723,0.255506786545694,4.7077692355864,"quantatative"
"397",397,397,397,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Closed","","","","","","",10,27,"","","","","RMR","213.34","","","mg kg^-1 h^-1","31,25",72,"","","","","","","",3.8,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.85733249643127,0.00241621001376723,0.255506786545694,4.7077692355864,"quantatative"
"398",398,398,398,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Intermittent-Flow","","","","","","",10,27,"","","","",NA,NA,"","",NA,"",NA,"","","","","","","",6.6,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,NA,0,0.255506786545694,4.7077692355864,"quantatative"
"399",399,399,399,"Fundulidae","Fundulus","grandis","Killifish","University of New Orleans","30.028454, -90.066443",30,"-90,066443","No","",27,"10","","",NA,"flake fish food 1.5% of body weight","","","","daily","12h:12h",11,10.8,"","","","","18",109.07,9.9,"","","","","","Adult","Adult","Male","24","Intermittent-Flow","","","","","","",10,27,"","","","","SMR","200.72","","","mg kg^-1 h^-1","31,25",67.74,"","","","","","","",5.3,"","","","","","","","","","","","","","","J. E. Reemeyer & B. B. Rees (2019)",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.03342375548695,30,9.90189786375722,0.995718442351413,1.83084519230861,-0.0240710941088897,0.255506786545694,4.7077692355864,"quantatative"
